Time,Loss,
7.78991,0.512087,
15.5621,0.50501,
23.1225,0.500944,
31.1783,0.498578,
38.467,0.496608,
46.0537,0.495425,
53.7305,0.494463,
61.1728,0.493609,
68.8943,0.492638,
76.5437,0.492052,
84.3877,0.491222,
92.199,0.490778,
100.033,0.490313,
107.752,0.489801,
115.388,0.489424,
123.229,0.489203,
130.415,0.488749,
138.01,0.488492,
145.621,0.488247,
153.357,0.487991,
160.97,0.487833,
168.779,0.487403,
175.937,0.487248,
183.868,0.486898,
191.618,0.486677,
199.226,0.486554,
207.021,0.486439,
214.863,0.486509,
222.709,0.486096,
230.278,0.485931,
238.155,0.485789,
246.077,0.485601,
253.47,0.485391,
260.762,0.485353,
268.469,0.48523,
276.376,0.485102,
284.23,0.484909,
292.162,0.484845,
299.82,0.48477,
307.341,0.484657,
314.839,0.484586,
322.571,0.484343,
330.023,0.484245,
337.602,0.484152,
345.249,0.484102,
352.687,0.484191,
360.328,0.484062,
368.107,0.483969,
375.542,0.483825,
383.192,0.483885,
390.974,0.483734,
398.25,0.483658,
406.128,0.483461,
413.655,0.483442,
421.29,0.483378,
428.833,0.483357,
436.015,0.483354,
443.984,0.483291,
451.69,0.483157,
459.504,0.483065,
467.135,0.483046,
474.829,0.483003,
482.256,0.482814,
489.89,0.482722,
497.218,0.482698,
504.358,0.482677,
511.805,0.482632,
519.266,0.48256,
526.982,0.482512,
534.487,0.482549,
542.398,0.482451,
549.735,0.482361,
557.273,0.482333,
564.706,0.482238,
572.401,0.482238,
580.187,0.482357,
588.071,0.482352,
595.726,0.482174,
603.711,0.482083,
611.515,0.482049,
619.124,0.481975,
626.513,0.481955,
634.389,0.48185,
641.649,0.481844,
649.556,0.481816,
657.375,0.481893,
665.21,0.481756,
672.858,0.48167,
680.667,0.481668,
688.273,0.481689,
695.639,0.481647,
703.437,0.481666,
710.828,0.481517,
718.399,0.481535,
726.332,0.481474,
733.966,0.481463,
741.557,0.481341,
749.325,0.481414,
756.83,0.481349,
764.361,0.481265,
771.485,0.481317,
779.431,0.481288,
787.388,0.481227,
794.935,0.481188,
802.435,0.481156,
810.351,0.481223,
818.126,0.481115,
826.076,0.481106,
833.59,0.481106,
841.411,0.481085,
849.115,0.48106,
856.804,0.48105,
864.31,0.481022,
871.875,0.480976,
879.503,0.480958,
887.27,0.480853,
895.026,0.480885,
902.284,0.480819,
909.828,0.480849,
917.12,0.480773,
924.982,0.480813,
932.787,0.480727,
940.449,0.480654,
948.339,0.480635,
956.09,0.480675,
963.644,0.480604,
971.107,0.480604,
978.957,0.480575,
986.725,0.480516,
994.078,0.480519,
1002.08,0.480494,
1009.75,0.48045,
1017.45,0.480416,
1025.55,0.480424,
1033.04,0.480368,
1040.82,0.480321,
1048.74,0.480339,
1056.41,0.480329,
1064.27,0.480352,
1071.99,0.480255,
1079.49,0.480262,
1086.91,0.480233,
1094.61,0.480155,
1102.1,0.480144,
1109.31,0.480118,
1117.13,0.480065,
1124.95,0.480043,
1132.64,0.480107,
1139.89,0.48003,
1147.75,0.480002,
1155.16,0.479968,
1162.81,0.479951,
1170.29,0.479939,
1177.78,0.479917,
1185.37,0.479942,
1192.98,0.479911,
1200.66,0.479924,
